id,Titulo,Autor,Precio,idEditorial
1,Freeze Me,Ferrillio,6692.62,3
2,Peanut Butter Solution,Mickleborough,6584.39,3
3,Can Smith Get to Washington Anymore,Crownshaw,9339.77,6
4,Bullet,Oliveras,2991.87,3
5,Happy Together,Clash,7791.95,1
6,Curse of the Blair Witch,Yurevich,3457.5,1
7,Hero,Starrs,2216.7,1
8,Cremaster,Dory,8618.57,1 
9,Zombieland,Geockle,1849.72,2  
10,Man Of The Moment,Jellybrand,2483.81,1
11,The Snow Woman,Fatkin,5680.72,6
12,Silence Before Bach,Tal,9310.19,1
13,Vengeance Can Wait,Roarty,6369.5,5
14,Knife in the Water,Levey,3711.06,5
15,The Hound of the Baskervilles,Mayger,396.77,5
16,Hunt for Red October,MacHostie,7365.01,3
17,Baader Meinhof Komplex,Davidson,5190.08,6
18,Meet the Parents,Raywood,3271.6,2
19,When I Grow Up,Soeiro,697.77,3
20,Eddie Izzard,Sawrey,4227.75,3
21,Carriers Are Waiting,Laffranconi,4974.33,3
22,Craig Ferguson,Vial,7886.85,4
23,The Skinny,Kinker,8662.64,6
24,Basara,Lintall,8113.6,2
25,Molly Maguires,Beckers,1623.59,3
